x,y
341574.0179365496,397427.9606602939
339441.02034943475,397129.0322467715
339701.0189712098,395849.020230319
337659.9889338148,394369.036435212
336645.9962754944,391390.05518090114
334820.0114495791,390466.0537776375
344193.9731865886,383471.05540370924
343436.01387182646,392816.0242439338
337020.99104229314,387208.9490280871
336988.0300788856,392300.0033680291
338107.9889621235,397410.0143859947
334681.98100778763,383304.044791433
339845.0074851529,390096.0123175837
338851.0129420764,394857.97324390564
334733.9734390413,390576.95019970526
335237.9819049446,389704.02498921216
339789.98158589343,396988.0462759085
339576.9832385585,389861.98177343403
342117.96439061034,391009.98981805
335624.9896995062,389815.02471263485
336204.96737195307,388752.02094812214
344509.98551207467,392144.9490130618
336293.9724431049,389905.0076214177
343974.97128025984,389375.9747426109
333404.96704378614,396512.0311259758
340574.99024217995,391518.014094998
337301.96473954956,391052.9693043613
333285.9677872495,386497.9616432219
339739.98748703283,397238.0349457995
342580.98458963586,386801.9771075551
336409.01358974155,389716.97608690214
338167.9908193767,392115.97875508416
338646.9768903175,395387.02557075775
336928.97336146963,389122.97418154444
341106.015183737,397824.9885519151
335501.9650519448,396657.9742717847
335153.01849555643,390171.9600939227
338851.99389537744,391216.95228704595
338593.0050365813,397239.0075371943
334537.01537039434,392132.98925207765
340268.0048389645,390036.02560898365
338234.0133706252,386844.9443784638
335239.97676909406,393086.01931377256
335699.9900940624,394701.04878670326
333186.9791627481,386741.0321524193
334442.01904959895,390370.01683758263
338323.9818205094,397300.03786409495
337513.0203793899,391248.01299681776
338897.00002244045,393316.9883786999
337892.00614425336,392256.0072444876
340826.0299794037,383913.9735963167
334628.0205863899,389870.9627748984
334480.0133274783,390323.98188853986
336238.98739597877,395635.9774938405
334509.0277604052,398011.99422673625
333648.9652183444,397573.01573126676
336597.96968027524,387602.02238195174
335732.9981363246,388315.9970154151
341106.015183737,397824.9885519151
344622.03132077714,388006.0444736145
334302.0219970078,390588.04205202736
339207.9937658962,391181.99090669095
342809.98961575207,391647.0287619747
337217.9812893359,389230.95900576125
335639.9871412481,389151.99456073623
338925.00919602654,390852.94484585134
333968.01608399,397884.99967560096
341390.9675738885,392460.05509647855
335161.00724580156,394799.9835548763
339784.9659428223,391246.04932027095
334301.02176974836,390813.04257251177
335507.00003298896,392590.005902916
337088.03022852243,389185.95071125764
335007.9865626105,390209.9994088384
344114.0137725696,390574.988807024
336190.96533243364,391000.05124684126
337990.97113474883,397139.0518849284
335488.9685734422,390618.01000455976
335634.99743648095,389607.039098496
338183.0016925002,394941.9887807608
334940.9871475012,393732.03515357507
334785.01790875883,390199.0447876392
339531.01272324455,395994.9502151533
335681.99831160274,388292.988854172
342489.97326210723,384953.9731734249
